seq,pressure,pos_cmd,pos_fdb,loadcell,t1,t2,t3,t4,t5,ls_max,ls_min,x_acc,y_acc,z_acc,rms_acc,rms_vel,rms_pos,temp,humid,sound_level,dev_err,micsel,miclvl
0,0,0,28,1,8100,8100,8100,8100,8100,1,1,4,-34,4100,-1,2804,-8158,36,28,493,64,0,255
1,0,0,28,1,8100,8100,8100,8100,8100,1,1,4,-10,4084,-1,2824,-8158,36,28,493,16,0,250
2,0,0,28,1,8100,8100,8100,8100,8100,1,1,-32,-8,4012,-1,2844,-8158,36,28,493,4,0,251
3,0,0,28,1,8100,8100,8100,8100,8100,1,1,-8,-18,4070,-1,2864,-8158,36,28,493,64,0,255
4,0,0,28,0,8100,8100,8100,8100,8100,1,1,14,-14,4072,-1,2884,-8158,36,28,493,16,0,250
5,0,0,28,0,8100,8100,8100,8100,8100,1,1,30,-32,4078,-1,2904,-8158,36,28,476,4,0,254
6,0,0,28,0,8100,8100,8100,8100,8100,1,1,-22,-8,4062,-1,2920,-8158,36,28,476,0,0,251
7,0,0,28,0,8100,8100,8100,8100,8100,1,1,26,-16,4070,-1,2944,-8158,36,28,476,4,0,252
8,0,0,28,0,8100,8100,8100,8100,8100,1,1,2,-40,4060,-1,2964,-8158,36,28,476,64,0,247
9,0,0,28,0,8100,8100,8100,8100,8100,1,1,-36,-6,4016,-1,2980,-8158,36,28,476,0,0,257
10,0,0,28,0,8100,8100,8100,8100,8100,1,1,48,-24,4090,-1,3004,-8158,36,28,476,64,0,247
11,0,0,28,0,8100,8100,8100,8100,8100,1,1,18,-2,4060,-1,3024,-8158,36,28,476,16,0,255
12,0,0,28,0,8100,8100,8100,8100,8100,1,1,-20,-14,4058,-1,3040,-8158,36,28,476,0,0,254
13,0,0,28,0,8100,8100,8100,8100,8100,1,1,-32,-4,4040,-1,3064,-8158,36,28,476,16,0,249
14,0,0,28,0,8100,8100,8100,8100,8100,1,1,-12,-20,4060,-1,3084,-8158,36,28,476,4,0,252
15,0,0,28,0,8100,8100,8100,8100,8100,1,1,18,-40,4016,-1,3104,-8158,36,28,538,64,0,249
16,0,0,28,0,8100,8100,8100,8100,8100,1,1,26,-18,4068,-1,3124,-8158,36,28,538,16,0,250
17,0,0,28,0,8100,8100,8100,8100,8100,1,1,-14,-48,4068,-1,3144,-8158,36,28,538,4,0,255
18,0,0,28,0,8100,8100,8100,8100,8100,1,1,-36,-10,4072,-1,3164,-8158,36,28,538,64,0,255
19,0,0,28,0,8100,8100,8100,8100,8100,1,1,10,-2,4090,-1,3184,-8158,36,28,538,16,0,253
20,0,0,28,0,8100,8100,8100,8100,8100,1,1,-2,20,4066,-1,3204,-8158,36,28,538,4,0,253
21,0,0,28,0,8100,8100,8100,8100,8100,1,1,-4,28,4038,-1,3224,-8158,36,28,538,64,0,254
22,0,0,28,0,8100,8100,8100,8100,8100,1,1,-16,-30,4014,-1,3244,-8158,36,28,538,16,0,254
23,0,0,28,0,8100,8100,8100,8100,8100,1,1,8,6,4040,-1,3264,-8158,36,28,538,4,0,249
24,0,0,28,0,8100,8100,8100,8100,8100,1,1,0,-20,4008,-1,3284,-8158,36,28,552,64,0,254
25,0,0,28,0,8100,8100,8100,8100,8100,1,1,-16,6,4032,-1,3300,-8158,36,28,552,0,0,248
26,0,0,28,0,8100,8100,8100,8100,8100,1,1,2,-28,4104,-1,3324,-8158,36,28,552,64,0,255
27,0,0,28,0,8100,8100,8100,8100,8100,1,1,-22,-34,4096,-1,3344,-8158,36,28,552,16,0,249
28,0,0,28,0,8100,8100,8100,8100,8100,1,1,-22,-32,4070,-1,3360,-8158,36,28,552,0,0,255
29,0,0,28,0,8100,8100,8100,8100,8100,1,1,12,-22,4028,-1,3384,-8158,36,28,552,16,0,249
30,0,0,28,0,8100,8100,8100,8100,8100,1,1,20,-26,4000,-1,3404,-8158,36,28,552,4,0,248
31,0,0,28,0,8100,8100,8100,8100,8100,1,1,-12,-2,4094,-1,3424,-8158,36,28,552,64,0,254
32,0,0,28,0,8100,8100,8100,8100,8100,1,1,-12,-22,4050,-1,3444,-8158,36,28,552,16,0,248
33,0,0,28,0,8100,8100,8100,8100,8100,1,1,6,-30,4052,-1,3464,-8158,36,28,552,4,0,252
34,0,0,28,0,8100,8100,8100,8100,8100,1,1,0,2,4092,-1,3484,-8157,36,28,497,64,0,257
35,0,0,28,0,8100,8100,8100,8100,8100,1,1,6,8,4022,-1,3504,-8157,36,28,497,16,0,251
36,0,0,28,0,8100,8100,8100,8100,8100,1,1,4,-20,4088,-1,3524,-8157,36,28,497,0,0,257
37,0,0,28,0,8100,8100,8100,8100,8100,1,1,20,-8,4074,-1,3544,-8157,36,28,497,16,0,253
38,0,0,28,0,8100,8100,8100,8100,8100,1,1,-24,-34,4076,-1,3564,-8157,36,28,497,4,0,255
39,0,0,28,0,8100,8100,8100,8100,8100,1,1,12,2,4026,-1,3584,-8157,36,28,497,64,0,252
40,0,0,28,0,8100,8100,8100,8100,8100,1,1,-2,-14,4126,-1,3604,-8157,36,28,497,16,0,252
41,0,0,28,0,8100,8100,8100,8100,8100,1,1,-8,-56,4028,-1,3624,-8157,36,28,497,4,0,251
42,0,0,28,0,8100,8100,8100,8100,8100,1,1,-14,-16,4112,-1,3644,-8157,36,28,497,64,0,256
43,0,0,28,0,8100,8100,8100,8100,8100,1,1,-2,-12,4090,-1,3664,-8157,36,28,515,16,0,254
44,0,0,28,0,8100,8100,8100,8100,8100,1,1,-42,-18,4046,-1,3684,-8157,36,28,515,4,0,253
45,0,0,28,0,8100,8100,8100,8100,8100,1,1,-16,-10,4084,-1,3704,-8157,36,28,515,64,0,253
46,0,0,28,0,8100,8100,8100,8100,8100,1,1,4,-16,4106,-1,3724,-8157,36,28,515,16,0,250
47,0,0,28,0,8100,8100,8100,8100,8100,1,1,16,28,4074,-1,3740,-8157,36,28,515,0,0,255
48,0,0,28,0,8100,8100,8100,8100,8100,1,1,-42,-16,4062,-1,3764,-8157,36,28,515,16,0,252
49,0,0,28,0,8100,8100,8100,8100,8100,1,1,-14,-4,4070,-1,3784,-8157,36,28,515,4,0,256
50,0,0,28,0,8100,8100,8100,8100,8100,1,1,0,6,4118,-1,3804,-8157,36,28,515,64,0,253
51,0,0,28,0,8100,8100,8100,8100,8100,1,1,10,56,4058,-1,3824,-8157,36,28,515,16,0,252
52,0,0,28,0,8100,8100,8100,8100,8100,1,1,-24,-4,4066,-1,3844,-8157,36,28,526,4,0,253
53,0,0,28,0,8100,8100,8100,8100,8100,1,1,-14,-24,4058,-1,3864,-8157,36,28,526,64,0,253
54,0,0,28,0,8100,8100,8100,8100,8100,1,1,-6,-32,4038,-1,3884,-8157,36,28,526,16,0,249
55,0,0,28,0,8100,8100,8100,8100,8100,1,1,36,-6,4060,-1,3904,-8157,36,28,526,4,0,254
56,0,0,28,0,8100,8100,8100,8100,8100,1,1,12,-12,4004,-1,3924,-8157,36,28,526,64,0,249
57,0,0,28,0,8100,8100,8100,8100,8100,1,1,28,-26,4074,-1,3944,-8157,36,28,526,16,0,254
58,0,0,28,0,8100,8100,8100,8100,8100,1,1,0,-14,4062,-1,3960,-8157,36,28,526,0,0,252
59,0,0,28,0,8100,8100,8100,8100,8100,1,1,-20,-44,4028,-1,3984,-8157,36,28,526,16,0,255
60,0,0,28,0,8100,8100,8100,8100,8100,1,1,-6,-26,4112,-1,4004,-8157,36,28,526,4,0,251
61,0,0,28,1,8100,8100,8100,8100,8100,1,1,20,-4,4056,-1,4024,-8157,36,28,526,64,0,254
62,0,0,28,1,8100,8100,8100,8100,8100,1,1,-14,-10,4060,-1,4044,-8157,36,28,473,16,0,252
63,0,0,28,1,8100,8100,8100,8100,8100,1,1,22,-34,4048,-1,4064,-8157,36,28,473,4,0,249
64,0,0,28,1,8100,8100,8100,8100,8100,1,1,-8,-32,4002,-1,4084,-8157,36,28,473,64,0,256
65,0,0,28,1,8100,8100,8100,8100,8100,1,1,36,-44,4088,-1,4104,-8157,36,28,473,16,0,254
66,0,0,28,1,8100,8100,8100,8100,8100,1,1,-4,-32,4086,-1,4124,-8157,36,28,473,4,0,253
67,0,0,28,1,8100,8100,8100,8100,8100,1,1,10,-24,4094,-1,4144,-8157,36,28,473,64,0,251
68,0,0,28,1,8100,8100,8100,8100,8100,1,1,-6,-42,4068,-1,4164,-8157,36,28,473,16,0,250
69,0,0,28,1,8100,8100,8100,8100,8100,1,1,-2,-24,4100,-1,4184,-8157,36,28,473,4,0,251
70,0,0,28,1,8100,8100,8100,8100,8100,1,1,-14,-22,4080,-1,4204,-8157,36,28,473,64,0,254
71,0,0,28,1,8100,8100,8100,8100,8100,1,1,-30,-20,3996,-1,4224,-8157,36,28,524,16,0,255
72,0,0,28,1,8100,8100,8100,8100,8100,1,1,-36,-6,4090,-1,4244,-8157,36,28,524,4,0,249
73,0,0,28,1,8100,8100,8100,8100,8100,1,1,6,-24,4100,-1,4264,-8157,36,28,524,64,0,252
74,0,0,28,1,8100,8100,8100,8100,8100,1,1,-8,-32,4058,-1,4284,-8157,36,28,524,16,0,250
75,0,0,28,1,8100,8100,8100,8100,8100,1,1,6,-2,4104,-1,4304,-8157,36,28,524,4,0,251
76,0,0,28,1,8100,8100,8100,8100,8100,1,1,-36,-34,4034,-1,4324,-8157,36,28,524,64,0,254
77,0,0,28,1,8100,8100,8100,8100,8100,1,1,8,-24,4098,-1,4344,-8157,36,28,524,16,0,253
78,0,0,28,1,8100,8100,8100,8100,8100,1,1,-18,8,4038,-1,4364,-8157,36,28,524,4,0,254
79,0,0,28,1,8100,8100,8100,8100,8100,1,1,16,12,4048,-1,4384,-8157,36,28,524,64,0,249
80,0,0,28,1,8100,8100,8100,8100,8100,1,1,4,34,4054,-1,4404,-8157,36,28,524,16,0,254
81,0,0,28,1,8100,8100,8100,8100,8100,1,1,-14,-26,4074,-1,4424,-8157,36,28,516,4,0,251
82,0,0,28,0,8100,8100,8100,8100,8100,1,1,6,24,4062,-1,4444,-8157,36,28,516,64,0,251
83,0,0,28,0,8100,8100,8100,8100,8100,1,1,-2,-16,4052,-1,4464,-8157,36,28,516,16,0,251
84,0,0,28,0,8100,8100,8100,8100,8100,1,1,-4,-20,4066,-1,4484,-8157,36,28,516,0,0,254
85,0,0,28,0,8100,8100,8100,8100,8100,1,1,-8,-14,4130,-1,4504,-8156,36,28,516,16,0,248
86,0,0,28,0,8100,8100,8100,8100,8100,1,1,12,-40,4086,-1,4524,-8156,36,28,516,4,0,249
87,0,0,28,0,8100,8100,8100,8100,8100,1,1,-2,-24,4094,-1,4544,-8156,36,28,516,64,0,256
88,0,0,28,0,8100,8100,8100,8100,8100,1,1,-2,-20,4068,-1,4564,-8156,36,28,516,16,0,251
89,0,0,28,0,8100,8100,8100,8100,8100,1,1,40,20,4092,-1,4584,-8156,36,28,516,4,0,254
90,0,0,28,0,8100,8100,8100,8100,8100,1,1,4,-40,4048,-1,4604,-8156,36,28,516,64,0,253
91,0,0,28,0,8100,8100,8100,8100,8100,1,1,26,2,4096,-1,4624,-8156,36,28,516,16,0,253
92,0,0,28,0,8100,8100,8100,8100,8100,1,1,20,-24,4030,-1,4644,-8156,36,28,516,4,0,251
93,0,0,28,0,8100,8100,8100,8100,8100,1,1,6,-46,4072,-1,4664,-8156,36,28,516,64,0,251
94,0,0,28,0,8100,8100,8100,8100,8100,1,1,0,-4,4028,-1,4684,-8156,36,28,516,16,0,250
95,0,0,28,0,8100,8100,8100,8100,8100,1,1,2,-20,4056,-1,4704,-8156,36,28,516,4,0,256
96,0,0,28,0,8100,8100,8100,8100,8100,1,1,-4,-42,4034,-1,4724,-8156,36,28,516,64,0,253
97,0,0,28,0,8100,8100,8100,8100,8100,1,1,-8,-30,4058,-1,4744,-8156,36,28,516,16,0,252
98,0,0,28,0,8100,8100,8100,8100,8100,1,1,-12,-34,3984,-1,4764,-8156,36,28,516,4,0,256
99,0,0,28,0,8100,8100,8100,8100,8100,1,1,2,-44,4030,-1,4784,-8156,36,28,564,64,0,255
100,0,0,28,1,8100,8100,8100,8100,8100,1,1,18,-12,4088,-1,4804,-8156,36,28,564,16,0,251
101,0,0,28,1,8100,8100,8100,8100,8100,1,1,-22,-28,4030,-1,4824,-8156,36,28,564,4,0,254
102,0,0,28,1,8100,8100,8100,8100,8100,1,1,38,-20,4002,-1,4844,-8156,36,28,564,64,0,256
103,0,0,28,1,8100,8100,8100,8100,8100,1,1,-2,-20,4068,-1,4864,-8156,36,28,564,16,0,252
104,0,0,28,1,8100,8100,8100,8100,8100,1,1,18,6,4048,-1,4884,-8156,36,28,564,4,0,253
105,0,0,28,0,8100,8100,8100,8100,8100,1,1,-24,-14,4090,-1,4904,-8156,36,28,564,64,0,256
106,0,0,28,0,8100,8100,8100,8100,8100,1,1,12,-20,4052,-1,4924,-8156,36,28,564,16,0,247
107,0,0,28,0,8100,8100,8100,8100,8100,1,1,22,-42,4076,-1,4944,-8156,36,28,564,4,0,252
108,0,0,28,0,8100,8100,8100,8100,8100,1,1,-18,-2,4028,-1,4964,-8156,36,28,564,64,0,252
109,0,0,28,1,8100,8100,8100,8100,8100,1,1,38,2,3998,-1,4984,-8156,36,28,559,16,0,253
110,0,0,28,1,8100,8100,8100,8100,8100,1,1,10,-46,4056,-1,5004,-8156,36,28,559,4,0,252
111,0,0,28,1,8100,8100,8100,8100,8100,1,1,10,-26,4062,-1,5024,-8156,36,28,559,64,0,247
112,0,0,28,1,8100,8100,8100,8100,8100,1,1,-38,-36,4090,-1,5044,-8156,36,28,559,16,0,254
113,0,0,28,1,8100,8100,8100,8100,8100,1,1,14,-18,4070,-1,5064,-8156,36,28,559,4,0,249
114,0,0,28,1,8100,8100,8100,8100,8100,1,1,4,-14,4080,-1,5084,-8156,36,28,559,64,0,255
115,0,0,28,1,8100,8100,8100,8100,8100,1,1,-20,-32,4046,-1,5104,-8156,36,28,559,16,0,252
116,0,0,28,0,8100,8100,8100,8100,8100,1,1,0,-12,4076,-1,5124,-8156,36,28,559,4,0,247
117,0,0,28,0,8100,8100,8100,8100,8100,1,1,-14,2,4130,-1,5144,-8156,36,28,559,64,0,253
118,0,0,28,0,8100,8100,8100,8100,8100,1,1,8,-22,4090,-1,5164,-8156,36,28,534,16,0,254
119,0,0,28,0,8100,8100,8100,8100,8100,1,1,-18,2,4054,-1,5184,-8156,36,28,534,4,0,250
120,0,0,28,0,8100,8100,8100,8100,8100,1,1,-16,14,4072,-1,5204,-8156,36,28,534,64,0,256
121,0,0,28,0,8100,8100,8100,8100,8100,1,1,-22,-12,4042,-1,5224,-8156,36,28,534,16,0,254
122,0,0,28,0,8100,8100,8100,8100,8100,1,1,-6,-20,4028,-1,5244,-8156,36,28,534,4,0,251
123,0,0,28,0,8100,8100,8100,8100,8100,1,1,34,-2,4046,-1,5264,-8156,36,28,534,64,0,250
124,0,0,28,0,8100,8100,8100,8100,8100,1,1,46,-40,4090,-1,5284,-8156,36,28,534,16,0,249
125,0,0,28,0,8100,8100,8100,8100,8100,1,1,-2,2,4022,-1,5304,-8156,36,28,534,4,0,247
